(Code,Title,Start Date,End Date,,Venue - Name,Sold Out,Custom: Finalisation date,Available space),
('CB2_f2f_4','CB2-21-25S','20/05/2025 09:30','10/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'28/04/2025',0),
('CB2_f2f_4','CB2-22-25S','02/06/2025 09:30','29/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'12/05/2025',0),
('CB2_f2f_4','CB2-23-25S','29/05/2025 09:30','08/08/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'28/04/2025',0),
('CB2_f2f_4','CB2-24-25S','22/05/2025 09:30','17/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'28/04/2025',0),
('CB2_f2f_4','CB2-30-25S','15/07/2025 09:30','20/08/2025 17:00','Tutorial - Edinburgh','Edinburgh Training and Conf'' Centre',FALSE,'22/06/2025',0),
('CB2_f2f_4','CB2-32-25S','10/06/2025 09:30','22/07/2025 17:00','Tutorial - Manchester','BPP Manchester',FALSE,'12/05/2025',3),
('CB2_f2f_4','CB2-38-25S','12/06/2025 09:30','14/08/2025 17:00','Tutorial - Bristol','BPP Bristol',FALSE,'12/05/2025',6),
('CB2_LO_4','CB2-40-25S','07/07/2025 09:30','18/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',0),
('CB2_LO_4','CB2-41-25S','18/06/2025 09:30','26/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CB2_LO_4','CB2-42-25S','23/06/2025 09:30','13/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',0),
('CB2_f2f_4','CB2-50-25S','10/06/2025 09:30','26/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'12/05/2025',0),
('CB2_f2f_4','CB2-51-25S','04/06/2025 09:30','27/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'12/05/2025',12),
('CB2_LO_4','CB2-60-25S','24/06/2025 09:30','26/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',2),
('CB2_f2f_4','CB2-70-25S','04/08/2025 09:30','12/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'14/07/2025',1),
('CM1_LO_6','CM1-10-25S','20/05/2025 09:30','11/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',3),
('CM1_LO_6','CM1-11-25S','22/05/2025 09:30','11/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',8),
('CM1_f2f_6','CM1-20-25S','21/05/2025 09:30','30/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'28/04/2025',1),
('CM1_f2f_6','CM1-21-25S','04/06/2025 09:30','11/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'12/05/2025',0),
('CM1_f2f_6','CM1-22-25S','05/06/2025 09:30','22/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'12/05/2025',5),
('CM1_f2f_6','CM1-23-25S','18/06/2025 09:30','07/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'12/05/2025',12),
('CM1_f2f_6','CM1-30-25S','02/06/2025 09:30','18/08/2025 17:00','Tutorial - Edinburgh','Edinburgh Training and Conf'' Centre',FALSE,'12/05/2025',4),
('CM1_LO_6','CM1-40-25S','10/06/2025 09:30','13/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CM1_LO_6','CM1-41-25S','11/06/2025 09:30','13/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',14),
('CM1_f2f_6','CM1-50-25S','10/06/2025 09:30','21/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'12/05/2025',0),
('CM1_LO_6','CM1-60-25S','16/06/2025 09:30','12/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CM1_LO_6','CM1-61-25S','23/06/2025 09:30','14/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',0),
('CM1_f2f_6','CM1-70-25S','02/07/2025 09:30','13/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'02/06/2025',8),
('CM1_LO_1','CM1-80-25S','27/08/2025 09:30','27/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',13),
('CM2_LO_8','CM2-01-25S','22/05/2025 09:00','04/08/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',2),
('CM2_LO_5','CM2-10-25S','20/05/2025 09:30','13/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',1),
('CM2_LO_5','CM2-11-25S','28/05/2025 09:30','29/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',0),
('CM2_LO_5','CM2-12-25S','29/05/2025 09:30','31/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',0),
('CM2_LO_5','CM2-13-25S','06/06/2025 09:30','15/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CM2_f2f_5','CM2-20-25S','22/05/2025 09:30','15/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'28/04/2025',0),
('CM2_f2f_5','CM2-21-25S','05/06/2025 09:30','28/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'12/05/2025',0),
('CM2_f2f_5','CM2-22-25S','04/06/2025 09:30','11/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'12/05/2025',0),
('CM2_f2f_5','CM2-23-25S','03/06/2025 09:30','14/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'12/05/2025',0),
('CM2_f2f_5','CM2-30-25S','27/05/2025 09:30','29/07/2025 17:00','Tutorial - Edinburgh','Edinburgh Training and Conf'' Centre',FALSE,'12/05/2025',0),
('CM2_f2f_5','CM2-32-25S','19/06/2025 09:30','27/08/2025 17:00','Tutorial - Manchester','BPP Manchester',FALSE,'12/05/2025',3),
('CM2_LO_5','CM2-41-25S','23/06/2025 09:30','27/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',14),
('CM2_LO_5','CM2-42-25S','25/06/2025 09:30','28/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',2),
('CM2_f2f_5','CM2-50-25S','16/06/2025 09:30','08/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'12/05/2025',0),
('CM2_f2f_5','CM2-51-25S','28/07/2025 09:30','26/08/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'22/06/2025',0),
('CM2_f2f_5','CM2-52-25S','16/06/2025 09:30','27/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'12/05/2025',0),
('CM2_f2f_5','CM2-55-25S','22/07/2025 09:00','21/08/2025 16:30','Tutorial - Dublin','Camden Court Hotel',FALSE,'22/06/2025',11),
('CM2_LO_5','CM2-60-25S','17/06/2025 09:30','26/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CM2_LO_5','CM2-61-25S','24/06/2025 09:30','28/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',5),
('CM2_f2f_5','CM2-70-25S','14/07/2025 09:30','27/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'22/06/2025',1),
('CM2_LO_1','CM2-80-25S','22/08/2025 09:30','22/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',4),
('CM2_LO_1','CM2-81-25S','28/08/2025 09:30','28/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',10),
('CP1_LO_10','CP1-01-25S','22/05/2025 09:00','22/08/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',3),
('CP1_LO_5','CP1-10-25S','03/06/2025 09:30','28/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CP1_f2f_5','CP1-20-25S','27/05/2025 09:30','30/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'28/04/2025',0),
('CP1_LO_5','CP1-40-25S','06/06/2025 09:30','22/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',14),
('CP1_f2f_5','CP1-50-25S','07/07/2025 09:30','14/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'02/06/2025',4),
('CP1_f2f_5','CP1-51-25S','26/06/2025 09:30','07/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'02/06/2025',0),
('CP1_LO_5','CP1-60-25S','07/07/2025 09:30','18/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',3),
('CP1_f2f_5','CP1-70-25S','09/07/2025 09:30','14/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'02/06/2025',0),
('CP2_LO_2','CP2-01-25S','18/07/2025 09:00','25/07/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',7),
('CP2_LO_2','CP2-02-25S','30/07/2025 09:00','05/08/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',6),
('CP2_LO_1','CP2-10-25S','22/07/2025 09:30','22/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',0),
('CP2_LO_1','CP2-11-25S','02/07/2025 09:30','02/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',0),
('CP2_LO_1','CP2-13-25S','31/07/2025 09:30','31/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',0),
('CP2_LO_1','CP2-14-25S','14/08/2025 09:30','14/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',8),
('CP2_LO_1','CP2-15-25S','06/08/2025 09:30','06/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',3),
('CP2_LO_1','CP2-12-25S','23/07/2025 09:30','23/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',0),
('CP2_LO_1','CP2-16-25S','05/08/2025 09:30','05/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',4),
('CP2_LO_1','CP2-17-25S','12/08/2025 09:30','12/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',9),
('CP2_LO_1','CP2-18-25S','14/08/2025 09:30','14/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',10),
('CP2_LO_1','CP2-19-25S','14/08/2025 09:30','14/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',0),
('CP2_f2f_1','CP2-20-25S','22/07/2025 09:30','22/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'22/06/2025',0),
('CP2_LO_1','CP2-21-25S','22/07/2025 09:30','22/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',14),
('CP2_f2f_1','CP2-22-25S','04/08/2025 09:30','04/08/2025 17:00','Tutorial - London','BPP London North (King''s Cross)',FALSE,'14/07/2025',0),
('CP2_LO_1','CP2-24-25S','19/08/2025 09:30','19/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',14),
('CP2_f2f_1','CP2-23-25S','29/07/2025 09:30','29/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'22/06/2025',0),
('CP2_f2f_1','CP2-25-25S','12/08/2025 09:30','12/08/2025 17:00','Tutorial - London','BPP London North (King''s Cross)',FALSE,'14/07/2025',0),
('CP2_f2f_1','CP2-26-25S','19/08/2025 09:30','19/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'14/07/2025',0),
('CP2_f2f_1','CP2-27-25S','06/08/2025 09:30','06/08/2025 17:00','Tutorial - London','BPP London East (Portsoken)',FALSE,'14/07/2025',0),
('CP2_f2f_1','CP2-30-25S','14/08/2025 09:30','14/08/2025 17:00','Tutorial - Edinburgh','Edinburgh Training and Conf'' Centre',FALSE,'14/07/2025',0),
('CP2_f2f_1','CP2-31-25S','20/08/2025 09:00','20/08/2025 16:30','Tutorial - Dublin','Camden Court Hotel',FALSE,'14/07/2025',2),
('CP2_f2f_1','CP2-32-25S','05/08/2025 09:30','05/08/2025 17:00','Tutorial - Manchester','BPP Manchester',FALSE,'14/07/2025',0),
('CP2_f2f_1','CP2-33-25S','13/08/2025 09:30','13/08/2025 17:00','Tutorial - Birmingham','BPP Birmingham',FALSE,'14/07/2025',5),
('CP2_f2f_1','CP2-34-25S','07/08/2025 09:30','07/08/2025 17:00','Tutorial - Leeds','BPP Leeds',FALSE,'14/07/2025',8),
('CP2_f2f_1','CP2-38-25S','07/08/2025 09:30','07/08/2025 17:00','Tutorial - Bristol','BPP Bristol',FALSE,'14/07/2025',0),
('CP2_LO_1','CP2-40-25S','18/08/2025 09:30','18/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',10),
('CP2_LO_1','CP2-41-25S','26/08/2025 09:30','26/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',13),
('CP2_LO_1','CP2-42-25S','20/08/2025 09:30','20/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',12),
('CP3_LO_2','CP3-01-25S','06/08/2025 09:00','11/08/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',9),
('CP3_LO_2','CP3-02-25S','22/07/2025 09:00','29/07/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',6),
('CP3_LO_1','CP3-10-25S','09/07/2025 09:30','09/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',4),
('CP3_LO_1','CP3-11-25S','21/07/2025 09:30','21/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',12),
('CP3_LO_1','CP3-12-25S','08/07/2025 09:30','08/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',8),
('CP3_LO_1','CP3-13-25S','04/08/2025 09:30','04/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',10),
('CP3_LO_1','CP3-14-25S','12/08/2025 09:30','12/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',5),
('CP3_LO_1','CP3-15-25S','14/07/2025 09:30','14/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',8),
('CP3_LO_1','CP3-16-25S','16/07/2025 09:30','16/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',7),
('CP3_LO_1','CP3-17-25S','30/07/2025 09:30','30/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',8),
('CP3_LO_1','CP3-18-25S','21/07/2025 09:30','21/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',8),
('CP3_LO_1','CP3-19-25S','26/08/2025 09:30','26/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',14),
('CP3_f2f_1','CP3-20-25S','09/07/2025 09:30','09/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'02/06/2025',0),
('CP3_f2f_1','CP3-21-25S','28/07/2025 09:30','28/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'22/06/2025',1),
('CP3_f2f_1','CP3-22-25S','29/07/2025 09:30','29/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'22/06/2025',2),
('CP3_f2f_1','CP3-24-25S','19/08/2025 09:30','19/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'14/07/2025',11),
('CP3_f2f_1','CP3-25-25S','06/08/2025 09:30','06/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'14/07/2025',4),
('CP3_f2f_1','CP3-26-25S','07/08/2025 09:30','07/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'14/07/2025',5),
('CP3_f2f_1','CP3-28-25S','20/08/2025 09:30','20/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'14/07/2025',8),
('CP3_f2f_1','CP3-29-25S','21/08/2025 09:30','21/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'14/07/2025',9),
('CP3_f2f_1','CP3-30-25S','14/07/2025 09:30','14/07/2025 17:00','Tutorial - Edinburgh','Edinburgh Training and Conf'' Centre',FALSE,'22/06/2025',2),
('CP3_f2f_1','CP3-31-25S','14/08/2025 09:00','14/08/2025 16:30','Tutorial - Dublin','Camden Court Hotel',FALSE,'14/07/2025',4),
('CP3_f2f_1','CP3-32-25S','13/08/2025 09:30','13/08/2025 17:00','Tutorial - Manchester','BPP Manchester',FALSE,'14/07/2025',0),
('CP3_f2f_1','CP3-34-25S','12/08/2025 09:30','12/08/2025 17:00','Tutorial - Leeds','BPP Leeds',FALSE,'14/07/2025',6),
('CP3_f2f_1','CP3-33-25S','13/08/2025 09:30','13/08/2025 17:00','Tutorial - Birmingham','BPP Birmingham',FALSE,'14/07/2025',4),
('CP3_f2f_1','CP3-38-25S','12/08/2025 09:30','12/08/2025 17:00','Tutorial - Bristol','BPP Bristol',FALSE,'14/07/2025',4),
('CP3_LO_1','CP3-40-25S','18/07/2025 09:30','18/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',11),
('CP3_LO_1','CP3-41-25S','28/07/2025 09:30','28/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',9),
('CP3_LO_1','CP3-42-25S','28/08/2025 09:30','28/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',9),
('CP3_LO_1','CP3-43-25S','20/08/2025 09:30','20/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',6),
('CP3_LO_1','CP3-44-25S','01/08/2025 09:30','01/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',8),
('CP3_f2f_1','CP3-50-25S','07/07/2025 09:30','07/07/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'02/06/2025',0),
('CS1_LO_8','CS1-01-25S','22/05/2025 09:00','31/07/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',0),
('CS1_LO_5','CS1-10-25S','22/05/2025 09:30','07/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',6),
('CS1_LO_5','CS1-11-25S','27/05/2025 09:30','05/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',1),
('CS1_f2f_5','CS1-20-25S','20/05/2025 09:30','30/07/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'28/04/2025',0),
('CS1_f2f_5','CS1-21-25S','28/05/2025 09:30','31/07/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'28/04/2025',0),
('CS1_f2f_5','CS1-22-25S','05/06/2025 09:30','13/08/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'12/05/2025',0),
('CS1_f2f_5','CS1-23-25S','28/05/2025 09:30','06/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'12/05/2025',0),
('CS1_f2f_5','CS1-30-25S','28/05/2025 09:30','21/08/2025 17:00','Tutorial - Edinburgh','Edinburgh Training and Conf'' Centre',FALSE,'12/05/2025',2),
('CS1_f2f_5','CS1-32-25S','11/06/2025 09:30','12/08/2025 17:00','Tutorial - Manchester','BPP Manchester',FALSE,'12/05/2025',6),
('CS1_f2f_5','CS1-33-25S','23/06/2025 09:30','12/08/2025 17:00','Tutorial - Birmingham','BPP Birmingham',FALSE,'02/06/2025',3),
('CS1_f2f_5','CS1-38-25S','28/05/2025 09:30','13/08/2025 17:00','Tutorial - Bristol','BPP Bristol',FALSE,'28/04/2025',1),
('CS1_LO_5','CS1-40-25S','11/06/2025 09:30','21/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CS1_LO_5','CS1-42-25S','23/06/2025 09:30','27/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',6),
('CS1_f2f_5','CS1-50-25S','18/06/2025 09:30','11/08/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'12/05/2025',0),
('CS1_f2f_5','CS1-51-25S','20/06/2025 09:30','26/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'12/05/2025',0),
('CS1_f2f_5','CS1-52-25S','19/06/2025 09:30','20/08/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'12/05/2025',0),
('CS1_LO_5','CS1-60-25S','18/07/2025 09:30','28/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',9),
('CS1_f2f_5','CS1-70-25S','23/07/2025 09:30','22/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'22/06/2025',10),
('CS1_LO_1','CS1-80-25S','12/08/2025 09:30','12/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',3),
('CS2_LO_10','CS2-01-25S','21/05/2025 09:00','08/08/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',5),
('CS2_LO_6','CS2-10-25S','20/05/2025 09:30','04/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',0),
('CS2_f2f_6','CS2-20-25S','21/05/2025 09:30','06/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'28/04/2025',2),
('CS2_f2f_6','CS2-21-25S','30/05/2025 09:30','14/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'28/04/2025',0),
('CS2_f2f_6','CS2-22-25S','04/06/2025 09:30','14/08/2025 17:00','Tutorial - Birmingham','BPP Birmingham',FALSE,'12/05/2025',12),
('CS2_f2f_6','CS2-33-25S','11/06/2025 09:30','06/08/2025 17:00','Tutorial - Leeds','BPP Leeds',FALSE,'12/05/2025',8),
('CS2_LO_6','CS2-40-25S','01/07/2025 09:30','11/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',1),
('CS2_LO_6','CS2-41-25S','03/06/2025 09:30','18/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CS2_f2f_6','CS2-50-25S','02/07/2025 09:30','14/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'02/06/2025',1),
('CS2_f2f_6','CS2-51-25S','25/06/2025 09:30','18/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'02/06/2025',0),
('CS2_LO_6','CS2-60-25S','09/06/2025 09:30','11/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('CS2_f2f_6','CS2-70-25S','08/07/2025 09:30','14/08/2025 17:00','Tutorial - London','BPP London South (Waterloo)',FALSE,'02/06/2025',5),
('CS2_LO_1','CS2-80-25S','18/08/2025 09:30','18/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',8),
('CS2_LO_1','CS2-81-25S','21/08/2025 09:30','21/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',11),
('SA1_LO_2',''sA1-60-25S','22/07/2025 09:30','05/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'22/06/2025',13),
('SA2_LO_6',''sA2-01-25S','23/06/2025 09:00','27/08/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'02/06/2025',6),
('SA2_LO_3',''sA2-10-25S','30/05/2025 09:30','09/07/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'28/04/2025',4),
('SA2_f2f_3',''sA2-20-25S','12/06/2025 09:30','24/07/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'12/05/2025',3),
('SA2_f2f_3',''sA2-33-25S','03/07/2025 09:30','30/07/2025 17:00','Tutorial - Birmingham','BPP Birmingham',FALSE,'02/06/2025',12),
('SA2_f2f_3',''sA2-55-25S','08/07/2025 09:30','18/08/2025 17:00','Tutorial - Edinburgh','Edinburgh Training and Conf'' Centre',FALSE,'02/06/2025',12),
('SA2_LO_3',''sA2-60-25S','12/08/2025 09:30','26/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'14/07/2025',5),
('SA2_f2f_3',''sA2-70-25S','18/08/2025 09:30','20/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'14/07/2025',10),
('SA3_LO_6',''sA3-01-25S','11/06/2025 09:00','20/08/2025 12:30','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',5),
('SA3_f2f_3',''sA3-20-25S','10/06/2025 09:30','22/07/2025 17:00','Tutorial - London','BPP London West (Shepherd''s Bush)',FALSE,'12/05/2025',0),
('SA3_LO_3',''sA3-40-25S','16/06/2025 09:30','04/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',0),
('SA3_LO_3',''sA3-41-25S','16/06/2025 09:30','15/08/2025 17:00','Tutorial - Live Online','Live Online',FALSE,'12/05/2025',14),
('SA3_f2f_3',''sA3-50-25S','22/07/2025 09:30','18/08/2025 17:00','Tutorial - London','BPP London Central (Holborn)',FALSE,'22/06/2025',0),
